启运港,目的港,航线ID,港口ID,开航日,航程,共舱船公司,船名,航次,船型,计划开航,实际离港,预计到港,启运港码头,目的港码头
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CSCL LONG BEACH,061E,9572TEU,2025/11/6,2025/11/6,2025/12/6,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM LIBERTY,0PPMFE2MA,14846TEU,2025/11/10,,2025/12/10,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM RABELAIS,0PPMHE2MA,6758TEU,2025/11/12,,2025/12/12,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM DOLOMITES,0PPMRE2MA,6014TEU,2025/11/19,,2025/12/19,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM PRIDE,0PPMPE2MA,14846TEU,2025/11/26,,2025/12/26,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,COSCO HELLAS,115E,9469TEU,2025/12/3,,2026/1/2,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM KIMBERLEY,0PPMKE2MA,15254TEU,2025/12/10,,2026/1/9,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,YANTIAN I,109E,9469TEU,2025/12/17,,2026/1/16,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),188,19,周三,30,CMA（PEX2） | COSCO（CAX1） | OOCL（TLC1） 中南美直航,CMA CGM MAUI,0PPCVE2MA,15254TEU,2025/12/24,,2026/1/23,QQCTU,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
QINGDAO(青岛),BALBOA(巴尔博亚),918,19,周日,33,MAERSK（AC2） 南美直航,BLANK SAILING,BLANK SAILING,,2025/11/2,,,QQCT,BALBOA TML/PANAMA PORTS COMPANY-PORT OF BALBOA
