启运港,目的港,20GP,20GP涨跌,40GP,40GP涨跌
青岛,"BANDAR ABBAS(阿巴斯,伊朗)",1900,-,2500,-
青岛,"SALALAH(塞拉莱,阿曼)",2400,+,3050,+
青岛,"RIYADH(利雅得,沙特阿拉伯)",2100,+,2500,+
青岛,"AJMAN(阿治曼,阿联酋)",1900,+,2250,+
青岛,"UMM QASAR(乌姆盖斯尔,伊拉克)",2150,+,2550,+
青岛,"BAHRAIN(巴林,巴林)",2000,+,2300,+
青岛,"SHARJAH(沙迦,阿联酋)",2000,+,2300,+
青岛,"KUWAIT--SHUAIBA(科威特舒艾拜,科威特)",2000,+,2350,+
青岛,"KUWAIT--SHUWAIKH(科威特舒瓦克,科威特)",2000,+,2350,+
青岛,"ABU DHABI(阿布扎比,阿联酋)",1900,+,2200,+
青岛,"DAMMAM(达曼,沙特阿拉伯)",1850,+,2200,+
青岛,"SOHAR(苏哈,阿曼)",1700,+,2000,+
青岛,"HAMAD PORT,DOHA(哈马德港,卡塔尔)",1750,+,2100,+
青岛,"SYDNEY,AU(悉尼,澳大利亚)",1500,-,3000,-
青岛,"MELBOURNE,AU(墨尔本,澳大利亚)",1500,-,3000,-
青岛,"FREMANTLE,AU(弗里曼特尔,澳大利亚)",1250,-,2500,-
青岛,"ADELAIDE(阿德莱德,澳大利亚)",1250,-,2500,-
青岛,"MALE(马累,马尔代夫)",2600,-,3250,-
青岛,"CALCUTTA,KOLKATA(加尔各答,印度)",1450,-,1950,-
青岛,"KARACHI--SAPT(卡拉奇SAPT港,巴基斯坦)",1300,+,1350,+
青岛,"KARACHI--PICT(卡拉奇P港,巴基斯坦)",1300,+,1350,+
青岛,"KARACHI--KICT(卡拉奇K港,巴基斯坦)",1300,+,1350,+
青岛,"KARACHI(卡拉奇,巴基斯坦)",1300,+,1350,+
青岛,"HAZIRA(哈吉拉,印度)",1200,+,1300,+
青岛,"VISAKHAPATNAM,VIZAG(维沙卡帕特南,印度)",900,-,1000,-
青岛,"BANGALORE(班加罗尔,印度)",900,-,1000,-
青岛,"CHENNAI(清奈,印度)",900,-,1000,-
青岛,"COCHIN(科钦,印度)",1300,-,1500,-
青岛,"COLOMBO(科伦坡,斯里兰卡)",1250,-,1450,-
青岛,"PIPAVAV(皮帕瓦,印度)",1150,+,1250,+
青岛,"MUNDRA(蒙德拉,印度)",1150,+,1250,+
青岛,"NHAVA SHEVA(那瓦西瓦,印度)",1150,+,1250,+
青岛,"RIO GRANDE(里奥格兰德,巴西)",1700,+,2000,+
青岛,"RIO DE JANEIRO(里约热内卢,巴西)",1700,+,2000,+
青岛,"PARANAGUA(巴拉那瓜,巴西)",1700,+,2000,+
青岛,"NAVEGANTES(纳维根特斯,巴西)",1700,+,2000,+
青岛,"MONTEVIDEO,UY(蒙得维的亚,乌拉圭)",1700,+,2000,+
青岛,"ITAPOA(伊塔普亚,巴西)",1700,+,2000,+
青岛,"BUENOS AIRES(布宜诺斯艾利斯,阿根廷)",1700,+,2000,+
青岛,"ASUNCION(亚松森,巴拉圭)",3000,+,3700,+
青岛,"MONTREAL,QC(蒙特利尔,加拿大)",3050,-,3750,-
青岛,"TORONTO,ON(多伦多,加拿大)",3050,-,3750,-
青岛,"CALGARY,AB(卡尔加里,加拿大)",2500,-,3100,-
青岛,"EDMONTON,AB(埃德蒙顿,加拿大)",2500,-,3100,-
青岛,"HALIFAX,NS(哈利法克斯,加拿大)",2200,-,2700,-
青岛,"PRINCE RUPERT,BC(鲁珀特港,加拿大)",1300,-,1550,-
青岛,"MATADI(马塔迪,刚果)",4450,-,5000,-
青岛,"DOUALA(杜阿拉,喀麦隆)",4400,-,4950,-
青岛,"LUANDA(罗安达,安哥拉)",3850,-,4100,-
青岛,"CONAKRY(科纳克里,几内亚)",6350,-,7950,-
青岛,"FREETOWN(弗里敦,塞拉利昂)",4550,-,5000,-
青岛,"MONROVIA(蒙罗维亚,利比里亚)",4550,-,5000,-
