启运港,目的港,航线ID,共舱船公司,正向路径,反向路径,中间时间
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,SITC(TCX) | EMC(TCX) | YML(TCX),高雄(KAOHSIUNG)[1天] → 台中(TAICHUNG)[1天] → 基隆(KEELUNG)[2天] → 上海(SHANGHAI),天津(TIANJIN)[2天] → 日照港(RIZHAO)[2天] → 连云港(LIANYUNGANG)[3天] → 高雄(KAOHSIUNG),3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,WHL(NCT) | 外运集运(NCT),上海(SHANGHAI)[3天] → 大连(DALIAN)[1天] → 天津(TIANJIN)[2天] → 日照港(RIZHAO),高雄(KAOHSIUNG)[1天] → 台中(TAICHUNG)[1天] → 基隆(KEELUNG)[2天] → 上海(SHANGHAI),4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,EMC(HBT),天津(TIANJIN)[2天] → 大连(DALIAN)[4天] → 高雄(KAOHSIUNG)[3天] → 连云港(LIANYUNGANG),日照港(RIZHAO)[6天] → 高雄(KAOHSIUNG)[5天] → 天津(TIANJIN),1天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,6eddc70fd98388fd8b7c44a74b4e3adb,COSCO(CTW1) | 泛亚航运(CTW1) | 华冈 | OOCL(NTX),大连(DALIAN)[1天] → 天津(TIANJIN)[2天] → 日照港(RIZHAO)[1天] → 连云港(LIANYUNGANG)[3天] → 基隆(KEELUNG),台中(TAICHUNG)[1天] → 高雄(KAOHSIUNG)[2天] → 宁波(NINGBO)[3天] → 大连(DALIAN),1天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,8b84107584188d272bb6a257cf6af675,外运集运(NCT2) | WHL(NT2) | SITC(NCT2),上海(SHANGHAI)[3天] → 天津(TIANJIN)[2天] → 日照港(RIZHAO)[1天] → 连云港(LIANYUNGANG),台中(TAICHUNG)[1天] → 高雄(KAOHSIUNG)[1天] → 基隆(KEELUNG)[2天] → 上海(SHANGHAI),4天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,6a0108cebe48e017d4211a26c12ca659,UNIFEEDER | 锦江航运(JFX) | EMC(JFX) | NEXUS(JFX) | 山东远洋(JFX) | ZIM(GGX) | HORIZON(JFX) | 汇合航运(JJFX) | X-PRESS(JFX) | PEAK(CJS) | NZL(JFX) | TSL(CME) | 长锦(SGX2) | 兴亚(SGX2) | 中联航运(JFX),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[3天] → 宁波(NINGBO)[2天] → 深圳蛇口(SHEKOU),巴生西(PORT KELANG W)[10天] → 杰贝阿里(JEBEL ALI)[8天] → 科伦坡(COLOMBO)[19天] → 青岛(QINGDAO),5天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,6f4824544d04e0471f564154a8289d2b,HPL(AGX) | MAERSK(FM1),天津(TIANJIN)[4天] → 青岛(QINGDAO)[4天] → 釜山新港(BUSAN NEW PORT)[4天] → 宁波(NINGBO)[4天] → 上海(SHANGHAI),丹戎帕拉帕斯(TANJUNG PELEPAS)[11天] → 杰贝阿里(JEBEL ALI)[12天] → 新加坡(SINGAPORE)[8天] → 天津(TIANJIN),9天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,4d44b9849d17009eae1c36b38056e588,MSC(NEW FALCON SERVICE),天津(TIANJIN)[3天] → 釜山新港(BUSAN NEW PORT)[3天] → 青岛(QINGDAO)[3天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[2天] → 厦门(XIAMEN)[2天] → 广州南沙(NANSHA)[1天] → 深圳蛇口(SHEKOU),新加坡(SINGAPORE)[11天] → 杰贝阿里(JEBEL ALI)[1天] → 阿布扎比(ABU DHABI)[1天] → 哈马德港(HAMAD PORT)[2天] → 乌姆盖斯尔(UMM QASAR)[6天] → 阿布扎比(ABU DHABI)[21天] → 天津(TIANJIN),5天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,5e089f888998a710e1f2e8241cf440f1,OOCL(ME1) | EMC(AMA) | COSCO(MEX4) | CMA(CIMEX1),青岛(QINGDAO)[3天] → 宁波(NINGBO)[4天] → 深圳蛇口(SHEKOU)[5天] → 新加坡(SINGAPORE)[11天] → 阿布扎比(ABU DHABI),杰贝阿里(JEBEL ALI)[2天] → 哈马德港(HAMAD PORT)[2天] → 达曼(DAMMAM)[18天] → 新加坡(SINGAPORE)[10天] → 青岛(QINGDAO),1天
青岛,明日数航船期查询中东印巴红海中东阿联酋杰贝阿里,1dff14eb35c31fc10a574b924a2a9375,OOCL(ME5) | EMC(CMEX) | COSCO(MEX) | CMA(CIMEX7),青岛(QINGDAO)[2天] → 上海(SHANGHAI)[2天] → 宁波(NINGBO)[4天] → 广州南沙(NANSHA)[4天] → 新加坡(SINGAPORE)[10天] → 杰贝阿里(JEBEL ALI),阿布扎比(ABU DHABI)[2天] → 达曼(DAMMAM)[3天] → 阿布扎比(ABU DHABI)[11天] → 巴生西(PORT KELANG W)[9天] → 青岛(QINGDAO),2天
