启运港,目的港,航线ID,开航日,航程(计划),共舱船公司,航线备注,船名航次,年份,船型,船期,启运港码头,目的港码头,航程(当次)
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,a2798a94df9fcbc99bf84a74c87afff7,周一,31天,CMA(ACSA1),南美西直航,APL CHARLESTON/1MH0EE1MA,,,2025-11-10,前湾联合码头,SPRB,31天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,KOTA ODYSSEY/E003,2025,8200 TEU,2025-11-06,新前湾码头,TCBUEN,31天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,WAN HAI 721/E024,2009,7241 TEU,2025-11-11,新前湾码头,TCBUEN,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,KOTA MANZANILLO/E023,2005,8210 TEU,2025-11-18,新前湾码头,TCBUEN,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,YM SUCCESS/E185,2004,5548 TEU,2025-11-25,新前湾码头,TCBUEN,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,YM EXCELLENCE/E152,2015,4662 TEU,2025-12-02,新前湾码头,TCBUEN,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,KOTA SANTOS/E015,2005,8084 TEU,2025-12-09,新前湾码头,TCBUEN,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,KOTA CAHAYA/E091,,,2025-12-16,新前湾码头,TCBUEN,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,WAN HAI 722/E023,2009,7241 TEU,2025-12-23,新前湾码头,TCBUEN,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,f15aaf1496d9312c5061421a5e6f1712,周二,35天,PIL(WS6) | WHL(AS2) | YML(SA8),南美直航,WAN HAI 613/E073,,,2025-12-30,新前湾码头,TCBUEN,35天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,da0d84750c1b4f4b43679312dee6c5d0,周五,33天,ZIM(ZAT),南美西直航,SPARROW/512E,,,2025-11-09,新前湾码头,TCBUEN,33天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,da0d84750c1b4f4b43679312dee6c5d0,周五,33天,ZIM(ZAT),南美西直航,SYNERGY OAKLAND/930E,,,2025-11-14,新前湾码头,TCBUEN,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,da0d84750c1b4f4b43679312dee6c5d0,周五,33天,ZIM(ZAT),南美西直航,空班/,,,2025-11-21,新前湾码头,TCBUEN,33天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,da0d84750c1b4f4b43679312dee6c5d0,周五,33天,ZIM(ZAT),南美西直航,空班/,,,2025-11-28,新前湾码头,TCBUEN,33天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,da0d84750c1b4f4b43679312dee6c5d0,周五,33天,ZIM(ZAT),南美西直航,MELINA/60E,,,2025-12-05,新前湾码头,TCBUEN,32天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,da0d84750c1b4f4b43679312dee6c5d0,周五,33天,ZIM(ZAT),南美西直航,,,,2025-12-12,新前湾码头,TCBUEN,33天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,da0d84750c1b4f4b43679312dee6c5d0,周五,33天,ZIM(ZAT),南美西直航,,,,2025-12-19,新前湾码头,TCBUEN,33天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,ONE ORINOCO/2543E,2022,11923 TEU,2025-11-07,新前湾码头,SPRB,31天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,SEASPAN THAMES/2544E,2014,10100 TEU,2025-11-12,新前湾码头,SPRB,35天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,SEASPAN ZAMBEZI/2545E,,,2025-11-18,新前湾码头,SPRB,33天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,POSORJA EXPRESS/2546E,2024,13288 TEU,2025-11-25,新前湾码头,SPRB,33天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,YOKOHAMA EXPRESS/2547E,2015,10100 TEU,2025-12-01,新前湾码头,SPRB,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,SEASPAN BRAVO/0101E,2014,10100 TEU,2025-12-08,新前湾码头,SPRB,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,IQUIQUE EXPRESS/2549E,2024,13288 TEU,2025-12-15,新前湾码头,SPRB,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,ONE SPARKLE/2550E,2025,13768 TEU,2025-12-22,新前湾码头,SPRB,27天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,8461e17c7414875280135ebccf05141b,周五,30天,HMM(NW3) | HPL(TPM) | ONE(AX3) | MSC(AZTEC),南美西直航,SEASPAN BEYOND/2551E,2016,10100 TEU,2025-12-30,新前湾码头,SPRB,34天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,07bb71c374963d63e6e1a7624a38c14d,周六,29天,OOCL(TLP5) | COSCO(WSA5),中美洲直航,DOLPHIN II/062E,,,2025-11-15,前湾联合码头,SPRB,29天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,07bb71c374963d63e6e1a7624a38c14d,周六,29天,OOCL(TLP5) | COSCO(WSA5),中美洲直航,OOCL MEMPHIS/093E,2013,8888 TEU,2025-11-29,前湾联合码头,SPRB,29天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,07bb71c374963d63e6e1a7624a38c14d,周六,29天,OOCL(TLP5) | COSCO(WSA5),中美洲直航,TIAN XIANG HE/154E,,,2025-11-29,前湾联合码头,SPRB,22天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,07bb71c374963d63e6e1a7624a38c14d,周六,29天,OOCL(TLP5) | COSCO(WSA5),中美洲直航,XIN DA LIAN/147E,,,2025-12-06,前湾联合码头,SPRB,29天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,07bb71c374963d63e6e1a7624a38c14d,周六,29天,OOCL(TLP5) | COSCO(WSA5),中美洲直航,CSCL WINTER/059E,,,2025-12-13,前湾联合码头,SPRB,29天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,07bb71c374963d63e6e1a7624a38c14d,周六,29天,OOCL(TLP5) | COSCO(WSA5),中美洲直航,TINA I/121E,,,2025-12-20,前湾联合码头,SPRB,29天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,周六,38天,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),墨西哥直航,CMA CGM CEDRUS/1WU04E2MA,2024,15254 TEU,2025-11-06,前湾联合码头,SPIA,33天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,周六,38天,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),墨西哥直航,CMA CGM INTEGRITY/0WU3JE1MA,2022,14846 TEU,2025-11-10,前湾联合码头,SPIA,36天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,周六,38天,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),墨西哥直航,LOTUS A/0WU3LE1MA,,,2025-11-16,前湾码头,SPIA,37天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,周六,38天,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),墨西哥直航,CMA CGM VELA/0WURXE2MA,,,2025-11-22,前湾联合码头,SPIA,38天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,周六,38天,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),墨西哥直航,CMA CGM TENERE/0WU3DE1MA,2020,14812 TEU,2025-11-27,前湾联合码头,SPIA,38天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,周六,38天,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),墨西哥直航,CMA CGM CHILE/1WU06E2MA,,,2025-12-07,前湾联合码头,SPIA,37天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,周六,38天,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),墨西哥直航,CMA CGM DIGNITY/0WU0AE2MA,,,2025-12-20,前湾联合码头,SPIA,32天
青岛,明日数航船期查询拉丁美洲南美西哥伦比亚布埃纳文图拉,834d25ad188bd1818ecfed5fe7bbcf6a,周六,38天,OOCL(TLP6) | COSCO(WSA6) | CMA(M2X),墨西哥直航,CMA CGM MAUI/0WU29E1MA,2024,15254 TEU,2025-12-27,前湾联合码头,SPIA,32天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/441S,,,2025-11-14,日照码头,YANGMING,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/279S,2006,1799 TEU,2025-11-18,日照码头,YANGMING,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/442S,,,2025-11-27,日照码头,YANGMING,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/280S,2006,1799 TEU,2025-12-02,日照码头,YANGMING,4天
