启运港,目的港,航线ID,开航日,航程(计划),共舱船公司,航线备注,船名航次,年份,船型,船期,启运港码头,目的港码头,航程(当次)
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/442S,2006,1799 TEU,2025/12/3,日照码头,KMCT,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/280S,2006,1799 TEU,2025/12/11,日照码头,KMCT,2天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/281S,2006,1799 TEU,2025/12/15,日照码头,KMCT,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/443S,2006,1799 TEU,2025/12/16,日照码头,KMCT,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/444S,2006,1799 TEU,2025/12/30,日照码头,YANGMING,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/282S,2006,1799 TEU,2026/1/6,日照码头,YANGMING,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/445S,2006,1799 TEU,2026/1/13,日照码头,YANGMING,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/441S,2006,1799 TEU,2025/11/18,日照码头,KMCT,5天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/278S,2006,1799 TEU,2025/11/5,日照码头,KMCT,11天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/440S,2006,1799 TEU,2025/10/31,日照码头,KMCT,7天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/439S,2006,1799 TEU,2025/10/16,日照码头,KMCT,6天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/438S,2006,1799 TEU,2025/9/29,日照码头,KMCT,8天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM INTELLIGENT/275S,2006,1799 TEU,2025/9/24,日照码头,KMCT,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,192f5ad1b3cf0544497a3cefa450e0ea,周一,5天,SITC(TCX) | EMC(TCX) | YML(TCX),台湾直航,YM IDEALS/437S,2006,1799 TEU,2025/9/14,日照码头,KMCT,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S252,2011,1805 TEU,2025/12/2,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/2525S,1997,1560 TEU,2025/12/9,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S253,2011,1805 TEU,2025/12/16,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/2526S,1997,1560 TEU,2025/12/23,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S254,2011,1805 TEU,2025/12/30,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/2601S,1997,1560 TEU,2026/1/6,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S255,2011,1805 TEU,2026/1/13,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/2602S,1997,1560 TEU,2026/1/20,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S256,2011,1805 TEU,2026/1/27,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/2524S,1997,1560 TEU,2025/11/30,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S251,2011,1805 TEU,2025/11/25,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/S523,1997,1560 TEU,2025/11/18,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S250,2011,1805 TEU,2025/11/7,日照码头,WAN HAI,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/S522,1997,1560 TEU,2025/11/4,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S249,2011,1805 TEU,2025/10/22,日照码头,WAN HAI,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/S521,1997,1560 TEU,2025/10/16,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S248,2011,1805 TEU,2025/10/7,日照码头,WAN HAI,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,XINDE KEELUNG/2520S,1997,1560 TEU,2025/10/5,日照码头,WAN HAI,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,264fe69cbefb6c60b670e995a335798e,周二,3天,WHL(NCT) | 外运集运(NCT),台湾直航,WAN HAI 271/S247,2011,1805 TEU,2025/9/23,日照码头,WAN HAI,5天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,UNI-PROBITY/0882-392B,2001,1618 TEU,2025/12/4,日照码头,KAOHSIUNG,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CONVEY/0883-104B,2021,1809 TEU,2025/12/8,日照码头,KAOHSIUNG,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CREATE/0884-082B,2021,1809 TEU,2025/12/12,日照码头,KAOHSIUNG,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,UNI-PROBITY/0885-393B,2001,1618 TEU,2025/12/22,日照码头,KAOHSIUNG,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CONVEY/0886-105B,2021,1809 TEU,2025/12/25,日照码头,KAOHSIUNG,4天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CREATE/0881-081B,2021,1809 TEU,2025/11/24,日照码头,KAOHSIUNG,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CONVEY/0880-103B,2021,1809 TEU,2025/11/20,日照码头,KAOHSIUNG,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,UNI-PROBITY/0879-391B,2001,1618 TEU,2025/11/7,日照码头,KAOHSIUNG,9天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CREATE/0878-080B,2021,1809 TEU,2025/11/1,日照码头,KAOHSIUNG,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,EVER CONVEY/0876-102B,2021,1809 TEU,2025/10/26,日照码头,KAOHSIUNG,3天
日照港,明日数航船期查询东南亚中国台湾中国台湾高雄,e986957c57c0ac7a94427c5dcb754460,周四,4天,EMC(HBT),台湾直航,UNI-PROBITY/0876-390B,2001,1618 TEU,2025/10/15,日照码头,KAOHSIUNG,4天
