Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Swimming stroke count(count),Weather: Humidity(%),Weather: Temperature(degC)
2022-12-07 14:11:52 - 2022-12-07 14:25:17,73.415,Swimming,0.275,804.562,,,0,1,0,0,0,131.791,131.791,6.067,143,45,9.37
2022-12-07 14:29:50 - 2022-12-07 14:41:50,75.535,Swimming,0.3,708.881,,,0,0,1,0,0,145.925,145.925,6.83,165,45,9.56
2022-12-07 14:48:25 - 2022-12-07 14:51:52,28.963,Swimming,0.1,206.196,,,0,0.098,0.634,0.268,0,149.585,161,8.722,60,45,9.44
2022-12-08 14:03:50 - 2022-12-08 14:16:40,85.336,Swimming,0.3,770.024,,,0,1,0,0,0,128.87,128.87,7.009,164,53,10.59
2022-12-08 14:24:55 - 2022-12-08 14:36:42,85.829,Swimming,0.3,707.014,,,0,0,1,0,0,136.653,136.653,7.55,168,,
2022-12-08 14:43:47 - 2022-12-08 14:47:48,26.65,Swimming,0.1,241.846,,,0.049,0.268,0.683,0,0,136.537,148,7.111,55,54,10.81
2022-12-09 14:18:03 - 2022-12-09 14:29:58,82.522,Swimming,0.3,714.929,,,0,1,0,0,0,132.38,132.38,7.236,163,55,10.62
2022-12-09 14:37:47 - 2022-12-09 14:49:50,83.411,Swimming,0.3,722.865,,,0,0,1,0,0,138.653,138.653,7.288,170,55,10.54
2022-12-09 14:57:21 - 2022-12-09 15:05:23,54.647,Swimming,0.2,482.279,,,0,0,1,0,0,140.843,140.843,7.185,114,55,10.42
2022-12-11 20:16:41 - 2022-12-11 20:28:43,81.283,Swimming,0.3,721.853,,,0,1,0,0,0,123.091,123.091,7.11,157,65,2.77
2022-12-11 20:32:54 - 2022-12-11 20:45:36,83.713,Swimming,0.3,762.223,,,0,1,0,0,0,132.434,132.434,7.01,166,66,2.62
2022-12-11 20:50:17 - 2022-12-11 20:57:45,52.71,Swimming,0.2,447.717,,,0,1,0,0,0,133.59,133.59,7.379,104,67,2.47
2022-12-12 13:53:01 - 2022-12-12 14:04:41,80.161,Swimming,0.3,697.049,,,0,1,0,0,0,132.26,132.26,7.287,162,38,6.66
2022-12-12 14:09:34 - 2022-12-12 14:20:57,76.725,Swimming,0.3,683.421,,,0,0,1,0,0,139.923,139.923,7.129,157,38,6.63
2022-12-12 14:26:52 - 2022-12-12 14:38:00,81.566,Swimming,0.3,668.75,,,0,0,1,0,0,144.576,144.576,7.594,164,37,6.77
2022-12-14 14:03:31 - 2022-12-14 14:14:34,70.46,Swimming,0.3,662.604,,,0,1,0,0,0,130.507,130.507,6.781,136.96,32,0.98
2022-12-14 14:23:33 - 2022-12-14 14:34:05,68.698,Swimming,0.3,632.001,,,0,0,1,0,0,141.869,141.869,6.904,135,32,1.14
2022-12-14 14:38:28 - 2022-12-14 14:48:48,66.084,Swimming,0.3,619.783,,,0,0,1,0,0,144.25,144.25,6.802,134,32,1.17
2022-12-15 20:31:23 - 2022-12-15 20:35:28,12.233,Swimming,0.05,245.589,,,0.396,0.604,0,0,0,117.542,132,3.994,20,,
2022-12-15 20:36:04 - 2022-12-15 20:46:20,66.156,Swimming,0.3,615.206,,,0,0,1,0,0,135.928,135.928,6.873,132,69,-1.59
2022-12-15 20:50:06 - 2022-12-15 21:01:11,70.335,Swimming,0.3,665.262,,,0,0,1,0,0,135.684,135.684,6.753,138,69,-1.74
2022-12-15 21:04:52 - 2022-12-15 21:15:14,71.808,Swimming,0.3,621.497,,,0,0,1,0,0,141.242,141.242,7.295,149,,
2022-12-16 20:35:44 - 2022-12-16 20:46:21,65.047,Swimming,0.3,637.712,,,0,1,0,0,0,124.123,124.123,6.561,131,56,-1.49
2022-12-16 20:49:37 - 2022-12-16 21:00:05,65.644,Swimming,0.3,628.414,,,0,1,0,0,0,131.415,131.415,6.678,131,56,-1.58
2022-12-16 21:04:29 - 2022-12-16 21:14:28,64.808,Swimming,0.3,599.375,,,0,0,1,0,0,137.512,137.512,6.928,132,56,-1.68
2022-12-17 17:01:50 - 2022-12-17 17:12:17,67.703,Swimming,0.3,627.006,,,0,1,0,0,0,126.659,126.659,6.869,139,39,-5.25
2022-12-17 17:16:19 - 2022-12-17 17:26:29,64.975,Swimming,0.3,609.666,,,0,1,0,0,0,133.113,133.113,6.801,132,40,-5.99
2022-12-17 17:32:13 - 2022-12-17 17:42:50,66.569,Swimming,0.3,637.194,,,0,1,0,0,0,134.144,134.144,6.685,133,40,-6.09
2022-12-18 20:16:25 - 2022-12-18 20:26:52,68.206,Swimming,0.3,626.981,,,0,1,0,0,0,131.159,131.159,6.951,136,52,0.16
2022-12-18 20:31:33 - 2022-12-18 20:41:55,65.564,Swimming,0.3,621.826,,,0,0,1,0,0,142.863,142.863,6.737,132,52,0.31
2022-12-18 20:46:51 - 2022-12-18 20:56:42,63.157,Swimming,0.3,591.832,,,0,0,1,0,0,148.279,148.279,6.791,127,52,0.46
2022-12-19 20:40:03 - 2022-12-19 20:50:25,63.474,Swimming,0.3,621.78,,,0,1,0,0,0,133.851,133.851,6.602,124,62,2.46
2022-12-19 20:56:53 - 2022-12-19 21:07:08,63.511,Swimming,0.3,614.958,,,0,0,1,0,0,143.67,143.67,6.643,126,63,2.5
2022-12-19 21:12:25 - 2022-12-19 21:22:45,63.403,Swimming,0.3,619.863,,,0,0,1,0,0,145.773,145.773,6.598,127,64,2.78
2022-12-21 14:10:37 - 2022-12-21 14:20:50,64.048,Swimming,0.3,612.332,,,0,1,0,0,0,128.511,128.511,6.7,127,44,2.8
2022-12-21 14:24:49 - 2022-12-21 14:34:56,61.99,Swimming,0.3,607.159,,,0,0,1,0,0,138.599,138.599,6.571,125,44,2.74
2022-12-21 14:40:08 - 2022-12-21 14:49:57,61.881,Swimming,0.3,588.937,,,0,0,1,0,0,143.541,143.541,6.725,123,44,2.65
2022-12-22 14:58:42 - 2022-12-22 15:08:34,61.295,Swimming,0.3,591.545,,,0,1,0,0,0,124.382,124.382,6.669,123,52,-2.21
2022-12-22 15:12:50 - 2022-12-22 15:22:33,59.879,Swimming,0.3,582.788,,,0,0,1,0,0,139.676,139.676,6.594,122,52,-2.35
2022-12-22 15:26:50 - 2022-12-22 15:36:48,61.166,Swimming,0.3,597.509,,,0,0,1,0,0,141.121,141.121,6.644,122,52,-2.53
2022-12-25 14:52:05 - 2022-12-25 15:02:05,63.553,Swimming,0.3,599.599,,,0,1,0,0,0,125.309,125.309,6.774,127,52,3.85
2022-12-25 15:07:25 - 2022-12-25 15:17:16,59.021,Swimming,0.3,591.241,,,0,1,0,0,0,132.754,132.754,6.485,118,52,3.82
2022-12-25 15:23:52 - 2022-12-25 15:33:33,61.352,Swimming,0.3,580.961,,,0,1,0,0,0,134.339,134.339,6.768,123,50,3.69
